"05531: Levendefødte, etter måned og år"
"måned";"1966 Levendefødte, indeks";"1966 Levendefødte, absolutte tall";"1967 Levendefødte, indeks";"1967 Levendefødte, absolutte tall";"1968 Levendefødte, indeks";"1968 Levendefødte, absolutte tall";"1969 Levendefødte, indeks";"1969 Levendefødte, absolutte tall";"1970 Levendefødte, indeks";"1970 Levendefødte, absolutte tall";"1971 Levendefødte, indeks";"1971 Levendefødte, absolutte tall";"1972 Levendefødte, indeks";"1972 Levendefødte, absolutte tall";"1973 Levendefødte, indeks";"1973 Levendefødte, absolutte tall";"1974 Levendefødte, indeks";"1974 Levendefødte, absolutte tall";"1975 Levendefødte, indeks";"1975 Levendefødte, absolutte tall";"1976 Levendefødte, indeks";"1976 Levendefødte, absolutte tall";"1977 Levendefødte, indeks";"1977 Levendefødte, absolutte tall";"1978 Levendefødte, indeks";"1978 Levendefødte, absolutte tall";"1979 Levendefødte, indeks";"1979 Levendefødte, absolutte tall";"1980 Levendefødte, indeks";"1980 Levendefødte, absolutte tall";"1981 Levendefødte, indeks";"1981 Levendefødte, absolutte tall";"1982 Levendefødte, indeks";"1982 Levendefødte, absolutte tall";"1983 Levendefødte, indeks";"1983 Levendefødte, absolutte tall";"1984 Levendefødte, indeks";"1984 Levendefødte, absolutte tall";"1985 Levendefødte, indeks";"1985 Levendefødte, absolutte tall";"1986 Levendefødte, indeks";"1986 Levendefødte, absolutte tall";"1987 Levendefødte, indeks";"1987 Levendefødte, absolutte tall";"1988 Levendefødte, indeks";"1988 Levendefødte, absolutte tall";"1989 Levendefødte, indeks";"1989 Levendefødte, absolutte tall";"1990 Levendefødte, indeks";"1990 Levendefødte, absolutte tall";"1991 Levendefødte, indeks";"1991 Levendefødte, absolutte tall";"1992 Levendefødte, indeks";"1992 Levendefødte, absolutte tall";"1993 Levendefødte, indeks";"1993 Levendefødte, absolutte tall";"1994 Levendefødte, indeks";"1994 Levendefødte, absolutte tall";"1995 Levendefødte, indeks";"1995 Levendefødte, absolutte tall";"1996 Levendefødte, indeks";"1996 Levendefødte, absolutte tall";"1997 Levendefødte, indeks";"1997 Levendefødte, absolutte tall";"1998 Levendefødte, indeks";"1998 Levendefødte, absolutte tall";"1999 Levendefødte, indeks";"1999 Levendefødte, absolutte tall";"2000 Levendefødte, indeks";"2000 Levendefødte, absolutte tall";"2001 Levendefødte, indeks";"2001 Levendefødte, absolutte tall";"2002 Levendefødte, indeks";"2002 Levendefødte, absolutte tall";"2003 Levendefødte, indeks";"2003 Levendefødte, absolutte tall";"2004 Levendefødte, indeks";"2004 Levendefødte, absolutte tall";"2005 Levendefødte, indeks";"2005 Levendefødte, absolutte tall";"2006 Levendefødte, indeks";"2006 Levendefødte, absolutte tall";"2007 Levendefødte, indeks";"2007 Levendefødte, absolutte tall";"2008 Levendefødte, indeks";"2008 Levendefødte, absolutte tall";"2009 Levendefødte, indeks";"2009 Levendefødte, absolutte tall";"2010 Levendefødte, indeks";"2010 Levendefødte, absolutte tall";"2011 Levendefødte, indeks";"2011 Levendefødte, absolutte tall";"2012 Levendefødte, indeks";"2012 Levendefødte, absolutte tall";"2013 Levendefødte, indeks";"2013 Levendefødte, absolutte tall";"2014 Levendefødte, indeks";"2014 Levendefødte, absolutte tall";"2015 Levendefødte, indeks";"2015 Levendefødte, absolutte tall";"2016 Levendefødte, indeks";"2016 Levendefødte, absolutte tall";"2017 Levendefødte, indeks";"2017 Levendefødte, absolutte tall";"2018 Levendefødte, indeks";"2018 Levendefødte, absolutte tall";"2019 Levendefødte, indeks";"2019 Levendefødte, absolutte tall";"2020 Levendefødte, indeks";"2020 Levendefødte, absolutte tall";"2021 Levendefødte, indeks";"2021 Levendefødte, absolutte tall";"2022 Levendefødte, indeks";"2022 Levendefødte, absolutte tall";"2023 Levendefødte, indeks";"2023 Levendefødte, absolutte tall";"2024 Levendefødte, indeks";"2024 Levendefødte, absolutte tall";"2025 Levendefødte, indeks";"2025 Levendefødte, absolutte tall"
"januar";99;5633;95;5386;93;5326;98;5659;98;5384;97;5374;98;5366;102;5322;103;5223;100;4807;98;4449;98;4245;92;4056;100;4369;95;4094;96;4152;95;4117;94;3990;95;4037;97;4232;94;4200;92;4196;96;4705;93;4678;99;5118;99;5137;97;4943;97;4907;96;4914;97;4972;96;4975;104;5274;96;4742;95;4768;96;4838;103;4959;99;4664;97;4644;101;4873;98;4714;95;4742;100;4954;96;4916;96;5021;97;5078;98;4993;97;4956;94;4729;97;4885;95;4781;97;4860;97;4658;96;4471;100;4629;96;4331;96;4564;99;4329;91;4031;92;4214;95;4479
"februar";98;5047;102;5203;97;5203;101;5264;101;4977;100;5033;102;5189;107;5045;104;4761;105;4554;102;4333;105;4091;103;4071;104;4111;103;4172;106;4116;101;3960;102;3914;105;4194;102;3990;102;4117;99;4117;103;4715;102;4661;107;5012;106;4926;104;4959;100;4577;102;4709;104;4788;104;4875;104;4760;103;4614;101;4610;106;4988;103;4495;104;4415;97;4226;99;4496;99;4445;102;4562;99;4455;99;4766;99;4683;101;4738;97;4482;97;4636;100;4510;102;4631;100;4519;99;4648;99;4315;99;4185;101;4227;100;4228;100;4315;103;4080;97;3864;100;4293;97;4141
"mars";109;6207;105;5931;104;5951;107;6146;107;5866;105;5865;109;5954;110;5708;112;5651;107;5134;111;5036;112;4861;110;4823;108;4740;111;4783;113;4873;112;4894;110;4667;109;4631;110;4762;106;4745;105;4807;107;5247;105;5297;107;5516;107;5524;107;5469;105;5312;106;5422;105;5364;105;5408;103;5244;105;5185;106;5358;106;5326;103;4958;101;4777;98;4717;103;4996;100;4840;104;5150;99;4922;98;5032;97;5100;99;5181;96;4930;101;5173;99;4940;97;4878;95;4784;101;5035;98;4704;98;4590;98;4556;99;4474;102;4849;102;4456;100;4420;99;4542;96;4494
"april";116;6390;115;6295;114;6327;115;6387;116;6150;112;6057;111;5872;114;5711;117;5737;117;5425;113;4955;115;4796;113;4802;116;4902;114;4763;113;4697;115;4858;111;4540;109;4509;113;4728;113;4894;109;4856;110;5180;107;5235;109;5436;110;5489;110;5429;110;5406;107;5291;108;5333;108;5409;111;5446;111;5317;107;5207;103;5185;107;5009;104;4757;103;4782;104;4872;107;4979;103;4967;102;4909;105;5200;105;5329;101;5112;104;5149;99;4880;104;5033;106;5146;106;5129;108;5210;105;4879;106;4805;102;4560;104;4510;101;4671;101;4264;101;4294;104;4599;102;4650
"mai";107;6110;107;6088;107;6114;106;6080;102;5617;109;6057;106;5803;105;5482;107;5410;111;5288;102;4611;106;4596;108;4727;108;4746;108;4668;103;4417;106;4593;103;4359;105;4484;105;4553;103;4581;104;4779;104;5087;103;5212;102;5275;105;5439;104;5293;105;5322;104;5328;104;5351;104;5387;103;5244;101;5021;107;5389;119;5421;104;5018;103;4831;104;4998;101;4869;103;4968;105;5224;103;5125;106;5428;103;5431;101;5262;105;5353;104;5345;109;5478;107;5370;105;5287;108;5383;107;5139;106;4943;106;4923;104;4700;103;4917;102;4461;105;4629;106;4875;105;4961
"juni";101;5569;102;5577;100;5514;101;5643;102;5404;101;5467;103;5452;101;5093;103;5057;100;4611;104;4579;104;4367;105;4469;102;4307;101;4242;101;4225;104;4395;105;4320;102;4220;100;4210;102;4389;104;4635;102;4838;101;4945;102;5111;101;5057;101;5005;104;5094;104;5121;106;5274;101;5074;105;5154;104;4974;104;5064;98;4937;106;4955;102;4663;102;4718;104;4868;106;4940;104;5024;107;5149;105;5235;107;5446;106;5368;109;5392;108;5354;107;5167;108;5257;111;5397;108;5223;110;5101;109;4941;106;4764;110;4791;108;4989;108;4563;111;4763;109;4838;108;4904
"juli";95;5413;97;5521;96;5517;98;5660;97;5321;98;5475;99;5415;97;5021;99;5011;100;4773;98;4463;98;4219;97;4281;101;4411;102;4397;100;4318;98;4266;102;4315;102;4346;102;4414;103;4599;105;4820;99;4822;101;5084;99;5132;102;5266;101;5141;104;5278;103;5242;106;5405;103;5343;104;5284;107;5319;103;5208;103;5201;102;4919;108;5072;108;5179;108;5210;105;5081;107;5318;106;5258;108;5548;105;5514;107;5576;109;5566;109;5587;113;5671;109;5487;113;5649;109;5473;109;5250;108;5050;109;5042;109;4911;109;5188;107;4668;111;4918;108;4974;111;5206
"august";94;5342;97;5509;97;5537;96;5517;96;5279;97;5388;97;5298;95;4937;97;4904;92;4419;96;4347;99;4271;97;4283;100;4369;96;4129;98;4234;99;4311;99;4188;98;4179;97;4232;101;4496;99;4526;97;4743;100;5033;100;5174;97;4991;100;5098;99;4996;97;4937;100;5143;98;5054;100;5074;102;5068;102;5158;113;5118;101;4852;102;4795;103;4965;100;4851;104;4993;103;5143;105;5194;103;5293;105;5517;103;5357;109;5562;108;5528;105;5241;103;5187;106;5328;104;5189;105;5044;109;5087;106;4907;106;4778;109;5207;106;4614;107;4716;109;4984;112;5269
"september";104;5734;103;5644;103;5722;103;5710;102;5390;103;5535;98;5163;98;4934;98;4783;100;4646;103;4537;99;4156;102;4348;98;4154;98;4097;102;4249;103;4335;102;4192;98;4046;97;4054;104;4475;102;4541;103;4885;102;4983;99;4939;103;5135;104;5135;102;4980;97;4791;102;5030;99;4939;102;4993;106;5091;103;5026;97;4885;102;4742;101;4613;105;4881;101;4751;104;4852;103;4942;101;4844;102;5092;105;5329;105;5318;101;5017;103;5087;99;4815;101;4906;102;4974;99;4775;103;4791;104;4714;106;4742;101;4409;103;4767;106;4475;104;4441;104;4612;109;4952
"oktober";97;5525;98;5544;99;5650;96;5508;90;4957;94;5259;89;4864;90;4682;91;4591;90;4310;93;4236;89;3860;96;4219;94;4122;93;4018;92;3980;91;3952;91;3861;94;3989;93;4026;92;4111;94;4329;92;4501;96;4817;94;4842;92;4767;91;4642;95;4814;96;4910;92;4718;96;4975;93;4700;94;4641;94;4710;91;4575;95;4555;97;4579;101;4834;95;4603;96;4632;96;4763;99;4914;96;4931;95;4976;99;5149;95;4882;94;4833;95;4754;94;4731;96;4815;92;4599;95;4585;97;4539;97;4508;97;4383;96;4594;99;4317;100;4399;101;4641;100;4696
"november";88;4841;88;4841;92;5081;88;4883;91;4837;93;5015;91;4801;91;4575;84;4116;87;4036;92;4045;89;3702;88;3745;89;3753;90;3762;87;3695;89;3742;90;3694;93;3813;92;3878;91;3939;93;4121;91;4306;94;4599;93;4668;88;4398;89;4414;90;4434;94;4642;93;4613;95;4762;86;4204;88;4232;89;4318;94;4280;89;4153;91;4143;92;4258;91;4257;90;4197;93;4463;92;4407;91;4503;95;4807;93;4697;91;4494;90;4469;91;4398;89;4318;87;4228;90;4337;91;4215;88;3971;89;4005;88;3814;90;4167;86;3645;92;3928;91;4021;90;4089
"desember";92;5250;92;5240;95;5408;92;5289;98;5369;90;5025;93;5083;90;4698;86;4359;91;4342;85;3883;88;3803;89;3925;82;3596;91;3914;87;3752;88;3822;92;3897;90;3826;93;4055;89;3968;94;4300;92;4497;94;4759;91;4716;91;4679;100;4581;90;4558;94;4785;84;4301;91;4726;87;4424;84;4148;89;4482;89;4480;85;4081;88;4125;89;4256;89;4305;85;4115;85;4247;87;4328;89;4553;89;4654;88;4606;86;4400;86;4407;85;4259;85;4288;83;4167;83;4158;82;3952;82;3824;78;3632;81;3650;80;3832;83;3608;81;3577;75;3420;76;3560
